,F,G,average_artificial_time_cal,average_idle_time1,average_idle_time2,busy_ration1,busy_ration2,customer_num,loss_ration,time
17,1.4,5.0,26.818851593174116,22.229890303278637,12.473580049748419,0.5469488094860955,0.68935072907249,5000.0,0.32581684307409114,2022-06-17 12:34:09.610231
18,1.6,0.0,27.109162664829086,13.51987455960267,2.9723517500000125,0.6674810452691612,0.8925219014602196,5000.0,0.5641518500720807,2022-06-17 12:34:31.459948
19,1.6,1.0,26.84277501996199,13.97805642626069,4.128961157122896,0.6577895207132349,0.8622702958886179,5000.0,0.5035394053798962,2022-06-17 12:34:54.681426
20,1.6,2.0,26.725043248934348,15.952872273890796,5.959588437022914,0.6264027199318867,0.8127999257899319,5000.0,0.4536562645551933,2022-06-17 12:35:18.645293
21,1.6,3.0,26.634206407348263,17.84977387290166,8.138092634771715,0.5989289891511453,0.7662765237946839,5000.0,0.3983661701105238,2022-06-17 12:35:42.812008
22,1.6,4.0,26.363898123475604,18.720929752860417,9.117092888077867,0.5849472201264245,0.7465271696167755,5000.0,0.37672209026128267,2022-06-17 12:36:06.639224
23,1.6,5.0,27.495568227903576,20.6141961008772,10.776842306158368,0.571696351651615,0.7209286941116455,5000.0,0.3584817244611059,2022-06-17 12:36:30.454622
24,1.8,0.0,26.83573328156567,12.68818534007584,1.9197136314947982,0.6792498339317568,0.9232488925021756,5000.0,0.6228571428571429,2022-06-17 12:36:51.341780
25,1.8,1.0,27.172360266331655,13.197266831991955,3.3297339835479303,0.6733104249394594,0.8840737989940581,5000.0,0.5427389705882353,2022-06-17 12:37:14.678892
26,1.8,2.0,27.194891248148203,15.28983299814638,5.272075941335097,0.6403232443847158,0.8295445098049787,5000.0,0.4908062234794908,2022-06-17 12:37:38.482900
27,1.8,3.0,26.55828482318107,16.493165878069412,6.876607483660115,0.6170964070302357,0.7931758808135299,5000.0,0.43874643874643876,2022-06-17 12:38:02.525955
28,1.8,4.0,26.96848706183888,17.503896958469067,7.648595354350583,0.6066040116098881,0.7779853257751912,5000.0,0.4065668759053597,2022-06-17 12:38:26.365548
29,1.8,5.0,27.187430789629644,18.276694617494428,8.923646582286047,0.5981755685784702,0.7569780252036401,5000.0,0.3641073951954781,2022-06-17 12:38:50.680498
30,2.0,0.0,27.13485584431979,12.068765655898863,1.1463716569037574,0.692450741518044,0.9509696287859346,5000.0,0.6607992388201712,2022-06-17 12:39:10.564325
31,2.0,1.0,27.25266602709072,12.875861714622616,2.267195798273134,0.6793912249171193,0.9151871406958232,5000.0,0.5931959750838525,2022-06-17 12:39:32.278352
32,2.0,2.0,26.609356546783623,14.265230605853661,3.9566610548320695,0.651221524462881,0.862300883680403,5000.0,0.5227906976744187,2022-06-17 12:39:55.824424
33,2.0,3.0,26.95802419116318,15.062191101985595,4.923396804089732,0.641756359291117,0.8397807786671139,5000.0,0.4884686346863469,2022-06-17 12:40:20.144567
34,2.0,4.0,26.831502440032423,16.053950308191393,6.657572217308898,0.6258449605954616,0.800793544084508,5000.0,0.41984015044663847,2022-06-17 12:40:44.392283
35,2.0,5.0,26.936509778481017,18.08372891053048,8.604422541401263,0.5985102100212119,0.7625322984643454,5000.0,0.3908433734939759,2022-06-17 12:41:08.345959
36,2.2,0.0,26.41343583053693,11.734362321008389,0.7600686871992199,0.6927549278183786,0.9652482359201427,5000.0,0.7171333649738966,2022-06-17 12:41:26.710489
37,2.2,1.0,26.471679816560485,12.357001272959206,1.6920596100577194,0.6820323332963932,0.9326356279789515,5000.0,0.6220510351468465,2022-06-17 12:41:47.400342
