,average_artificial_time_cal,average_idle_time1,average_idle_time2,average_dial_interval,busy_ration1,busy_ration2,call_num,customer_num,loss_ration,max_wait_time,seconds_delay,time
8,26.97837810966982,28.071984886658786,18.842411006160155,18.724686859600002,0.4903620878623807,0.6066305525454624,1.0,2500.0,0.19161105815061966,18.0,1.0,2022-06-17 15:52:30.196171
9,26.98532408816964,33.16948575977653,23.512549549902158,21.5357647032,0.44887418414547336,0.5538924221601202,1.0,2500.0,0.17873510540788268,21.0,1.0,2022-06-17 15:52:34.137176
10,27.166424765501734,39.921365668171525,30.31926949646104,23.7984486312,0.40521027686669797,0.4957575903454402,1.0,2500.0,0.14133591481122942,24.0,1.0,2022-06-17 15:52:37.964780
11,26.87228560126581,40.994849958817326,31.664089403827763,25.7676221444,0.3962067759611692,0.4853733786937592,1.0,2500.0,0.12384473197781885,27.0,1.0,2022-06-17 15:52:41.877179
12,27.228464218926568,20.679709227722768,11.006375002320182,13.5562256256,0.5686936700186497,0.7201189066306227,1.0,2500.0,0.3024630541871921,12.0,2.0,2022-06-17 15:52:45.875988
13,27.962689282247787,23.237344888746783,13.630956192513352,16.012130513200002,0.5464626593478106,0.6819043535652122,1.0,2500.0,0.2647887323943662,15.0,2.0,2022-06-17 15:52:49.891024
14,27.21586813182897,29.236307544589785,20.591797539278144,19.0552836108,0.4824015721742206,0.5916621917587901,1.0,2500.0,0.17125984251968504,18.0,2.0,2022-06-17 15:52:53.736279
15,27.24579508240536,33.33681037012262,24.50886385885884,21.7832014052,0.4500054200138233,0.5496703007522465,1.0,2500.0,0.14962121212121213,21.0,2.0,2022-06-17 15:52:57.617081
16,26.606017766666675,36.270981640250255,28.005440813397122,24.1409262768,0.4233983009331979,0.5148715943809283,1.0,2500.0,0.1232876712328767,24.0,2.0,2022-06-17 15:53:01.551110
17,27.417143182608648,43.033706310119726,34.92325997690767,26.008185848000004,0.3894255223028809,0.4629824251477037,1.0,2500.0,0.1128254580520733,27.0,2.0,2022-06-17 15:53:05.374360
18,27.099888429144396,19.243948230254336,10.26841157142856,13.8539194416,0.5850819203870321,0.7344423269110384,1.0,2500.0,0.29367327667610954,12.0,3.0,2022-06-17 15:53:09.475384
19,27.45387047006373,24.38680254336731,15.398619792079177,16.2811986576,0.5298992223182311,0.6558357752250277,1.0,2500.0,0.23114593535749264,15.0,3.0,2022-06-17 15:53:13.409298
20,27.48711528208231,30.737463229090928,21.3748080947817,19.2800929504,0.4723897493740716,0.5824013650278344,1.0,2500.0,0.18298714144411474,18.0,3.0,2022-06-17 15:53:17.250711
21,27.155074447729675,31.96749849260043,23.164516478219706,22.3779034048,0.4595636895228657,0.5628485851944836,1.0,2500.0,0.13987284287011809,21.0,3.0,2022-06-17 15:53:21.251724
22,27.206126751101323,40.18297131422271,31.66659107012196,24.507754501599997,0.4039823282637252,0.4904272278087352,1.0,2500.0,0.10805500982318272,24.0,3.0,2022-06-17 15:53:25.037374
23,26.49134995180729,45.62209396162275,36.984248360688895,26.337728312800003,0.3676113335287322,0.44518528053168455,1.0,2500.0,0.10577864838393733,27.0,3.0,2022-06-17 15:53:28.832869
24,26.691095541383987,20.591127073369567,12.056418826340325,13.950933782399998,0.5648397047645594,0.7029723057327832,1.0,2500.0,0.27460629921259844,12.0,4.0,2022-06-17 15:53:32.839283
25,27.034853362007194,22.75195346650715,14.392490189330518,16.6646219952,0.5433090353329982,0.6696370879930744,1.0,2500.0,0.21921641791044774,15.0,4.0,2022-06-17 15:53:36.892236
26,27.112492870897153,27.09534830777656,18.829880884806357,19.80047115,0.5004318099111922,0.617081539202441,1.0,2500.0,0.15291936978683968,18.0,4.0,2022-06-17 15:53:40.911516
27,27.474719442764567,33.48746539027028,25.160679408284025,22.598110094000003,0.4509521362627501,0.54778338513664,1.0,2500.0,0.12969924812030076,21.0,4.0,2022-06-17 15:53:44.832593
28,26.875287412909785,36.8465783989744,28.91867113562564,24.881024553200003,0.4220092904667388,0.5128708810194699,1.0,2500.0,0.09545875810936053,24.0,4.0,2022-06-17 15:53:48.745506
29,26.822250656652336,44.66268538668102,35.79269677964429,26.6498757356,0.37546712676381533,0.455953871721424,1.0,2500.0,0.10642377756471716,27.0,4.0,2022-06-17 15:53:52.625405
30,26.947825494722967,20.358802257595755,11.276142453229385,14.3383466852,0.5699652507918939,0.7174519351590731,1.0,2500.0,0.2808349146110057,12.0,5.0,2022-06-17 15:53:56.704597
31,27.15937691027155,23.673099419621746,14.569973023421586,17.244633162,0.5345857647882665,0.6675055404390672,1.0,2500.0,0.2222222222222222,15.0,5.0,2022-06-17 15:54:00.834406
32,27.124361440774464,29.596712002280523,21.1266980494336,19.9488079052,0.478490432951221,0.5878359818892042,1.0,2500.0,0.15332690453230471,18.0,5.0,2022-06-17 15:54:04.772296
33,27.075735291938983,34.750599934569266,26.672213703000022,22.681757843200003,0.43820037415101387,0.5297715890116635,1.0,2500.0,0.13068181818181818,21.0,5.0,2022-06-17 15:54:08.726106
34,27.39649626547745,38.48620834873949,30.548393433888336,25.0903503256,0.4160925089187572,0.5029316748943921,1.0,2500.0,0.09582542694497154,24.0,5.0,2022-06-17 15:54:12.642476
35,27.396427118679036,42.791506338842986,34.4527139423077,27.2307496304,0.3905753277336487,0.4728382658342517,1.0,2500.0,0.09269662921348316,27.0,5.0,2022-06-17 15:54:16.589792
36,26.99190378635775,19.805962403350552,10.775055751345565,14.5412866564,0.5770907137471197,0.7245614078780168,1.0,2500.0,0.2838709677419355,12.0,6.0,2022-06-17 15:54:20.790179
37,26.89154202098764,25.90020256983933,17.311310734357864,17.1055596616,0.5096978723433562,0.6309710611665682,1.0,2500.0,0.2097560975609756,15.0,6.0,2022-06-17 15:54:24.798160
38,26.672813367369567,29.629577390000023,21.663682925176968,20.278669186400002,0.4740189754571149,0.5773988326866824,1.0,2500.0,0.13697318007662834,18.0,6.0,2022-06-17 15:54:28.761095
39,26.784354589285698,34.365592435331244,26.626862637159547,23.2810277192,0.4382698055062121,0.5295250233693561,1.0,2500.0,0.10103871576959396,21.0,6.0,2022-06-17 15:54:32.685568
40,26.50753288271602,39.13903363439756,31.30672561753375,25.5644950752,0.4040394424618791,0.4904073095688507,1.0,2500.0,0.08646616541353383,24.0,6.0,2022-06-17 15:54:36.616634
41,27.26678559518825,44.255911800000035,35.60045804255322,27.344841960800004,0.3814795350664384,0.4612893843787322,1.0,2500.0,0.0938388625592417,27.0,6.0,2022-06-17 15:54:40.463450
42,26.862518480000038,20.992213864341046,11.714743717557216,14.865039225999999,0.5616525365944162,0.7101846243144534,1.0,2500.0,0.2723004694835681,12.0,7.0,2022-06-17 15:54:44.582254
43,27.63009400122847,25.535304337023398,17.157028295774673,17.2979384948,0.5200075158007061,0.6338604681959648,1.0,2500.0,0.2074001947419669,15.0,7.0,2022-06-17 15:54:48.538939
44,26.899776266298307,29.71481525221243,21.681275234406478,20.4822854936,0.4754142937548364,0.5791317200460707,1.0,2500.0,0.14380321665089876,18.0,7.0,2022-06-17 15:54:52.517496
45,26.568346318227572,32.87174833770163,25.869851199052142,23.63188283,0.4472259205361651,0.5373425233631021,1.0,2500.0,0.08140610545790934,21.0,7.0,2022-06-17 15:54:56.458746
46,26.896741581196604,41.698278795721905,34.09838524748489,25.6855204752,0.3923640671584376,0.4717568109625561,1.0,2500.0,0.0832517140058766,24.0,7.0,2022-06-17 15:55:00.287873
47,27.507791567676744,43.064178007077885,34.717496009407355,27.935630978400003,0.3900239351526746,0.4714549631688966,1.0,2500.0,0.0934065934065934,27.0,7.0,2022-06-17 15:55:04.216165
48,27.27460305527644,20.41512137106913,12.03802627401742,15.2026281276,0.5722255544764852,0.7093659440778822,1.0,2500.0,0.24976437323279926,12.0,8.0,2022-06-17 15:55:08.340088
49,26.433776044879192,24.52650116705067,16.449712215463894,17.700648226,0.5190007919455973,0.6394885384147161,1.0,2500.0,0.19462465245597774,15.0,8.0,2022-06-17 15:55:12.441095
50,27.219964973626343,30.42697809130917,22.791416763987822,20.982034161199998,0.4724580480090668,0.5726741772140869,1.0,2500.0,0.12584053794428435,18.0,8.0,2022-06-17 15:55:16.373281
51,27.234618123188408,34.767859040414486,27.392724747572807,23.950087141599997,0.4395056111928541,0.5286554760103979,1.0,2500.0,0.08,21.0,8.0,2022-06-17 15:55:20.291134
52,26.88770154020618,40.62435048503613,32.50137637164751,26.1842846444,0.3985124246974536,0.4815358821889296,1.0,2500.0,0.09090909090909093,24.0,8.0,2022-06-17 15:55:24.224552
53,27.136306570957103,49.71581611563877,41.56775033126935,27.9310063452,0.3533491502867695,0.4230080833196825,1.0,2500.0,0.07244897959183673,27.0,8.0,2022-06-17 15:55:28.018695
54,26.74589476961391,21.038615958852898,12.854816916213306,15.369913175599999,0.5600259802489567,0.6919530557522996,1.0,2500.0,0.24530075187969924,12.0,9.0,2022-06-17 15:55:32.158655
55,27.231323545667433,25.517595559202828,17.401430191377514,18.0206546744,0.5165367968334859,0.6324299607359671,1.0,2500.0,0.190521327014218,15.0,9.0,2022-06-17 15:55:36.209469
56,26.99043547608693,30.365223525571288,22.323607537475368,21.1788157696,0.4708511192524902,0.5707718249922328,1.0,2500.0,0.12713472485768498,18.0,9.0,2022-06-17 15:55:40.118566
57,27.125580923946533,35.37283342901237,27.972272659244947,24.3093829688,0.4342729161569449,0.524556481445694,1.0,2500.0,0.08380414312617702,21.0,9.0,2022-06-17 15:55:44.044409
58,27.220082630927838,41.08616276986583,33.71737265107211,26.522274190799997,0.39874790634266827,0.4775577045854913,1.0,2500.0,0.06280193236714976,24.0,9.0,2022-06-17 15:55:47.897476
